iter	Logloss
0	0.6583783439
1	0.6264278112
2	0.6022563463
3	0.5799347095
4	0.5584715082
5	0.5438441587
6	0.5283009818
7	0.5120752742
8	0.5010463843
9	0.4905080045
10	0.4799240627
11	0.4732675445
12	0.4658777901
13	0.4587629082
14	0.4521372934
15	0.4471421402
16	0.4426409261
17	0.4387309042
18	0.43585788
19	0.4325800692
20	0.4307214973
21	0.4273996246
22	0.4242909464
23	0.4226087077
24	0.4206383523
25	0.4175110721
26	0.4169161079
27	0.4149392374
28	0.4122745214
29	0.4108398095
30	0.4098491026
31	0.4073912803
32	0.4064163465
33	0.4050927323
34	0.4040540202
35	0.4033928346
36	0.4014936297
37	0.4007529784
38	0.3995823807
39	0.3985678426
40	0.3976303701
41	0.3967627193
42	0.3960305546
43	0.3951936357
44	0.394283809
45	0.393456234
46	0.392923848
47	0.3918290728
48	0.3910467169
49	0.3888435364
50	0.3874197113
51	0.3868201609
52	0.3854139092
53	0.3850811305
54	0.3842347392
55	0.3835693531
56	0.382898695
57	0.3820595902
58	0.381742156
59	0.3812483884
60	0.3806330649
61	0.379867468
62	0.3790622668
63	0.3789139651
64	0.3785283807
65	0.3780673595
66	0.3772483569
67	0.3764846459
68	0.3758667078
69	0.375602165
70	0.3751986643
71	0.374736443
72	0.3738562766
73	0.3734807218
74	0.3733250479
75	0.3728551972
76	0.3721504211
77	0.371598233
78	0.3711166382
79	0.3710694902
80	0.3705200881
81	0.3704750833
82	0.3702194557
83	0.3699012499
84	0.3698539734
85	0.3695682997
86	0.3691634703
87	0.3691214229
88	0.368941875
89	0.3688845688
90	0.368832406
91	0.3687809719
92	0.3686568871
93	0.3685776786
94	0.3682593442
95	0.367800509
96	0.3673832068
97	0.3673424881
98	0.3673068272
99	0.3670169959
