iter	Passed	Remaining
0	152	15092
1	153	7537
2	155	5019
3	156	3749
4	157	2985
5	157	2472
6	158	2107
7	159	1835
8	160	1622
9	161	1452
10	162	1311
11	162	1194
12	163	1096
13	164	1012
14	165	938
15	166	874
16	167	818
17	168	769
18	170	725
19	171	684
20	171	646
21	172	612
22	173	581
23	174	553
24	175	526
25	176	502
26	177	478
27	178	458
28	179	438
29	180	420
30	180	402
31	181	386
32	182	371
33	183	356
34	184	343
35	185	330
36	186	317
37	187	305
38	188	294
39	189	283
40	190	273
41	191	263
42	192	254
43	192	245
44	193	236
45	194	228
46	195	220
47	196	212
48	197	205
49	198	198
50	198	191
51	199	184
52	200	177
53	201	171
54	202	165
55	203	159
56	203	153
57	204	148
58	205	142
59	206	137
60	207	132
61	208	127
62	208	122
63	209	118
64	210	113
65	212	109
66	213	104
67	214	100
68	214	96
69	215	92
70	216	88
71	217	84
72	218	80
73	219	77
74	220	73
75	221	69
76	222	66
77	223	63
78	224	59
79	225	56
80	226	53
81	227	49
82	228	46
83	229	43
84	230	40
85	231	37
86	231	34
87	232	31
88	233	28
89	234	26
90	235	23
91	236	20
92	236	17
93	237	15
94	238	12
95	239	9
96	240	7
97	241	4
98	242	2
99	243	0
